,source,target,weight
1396,73,69,11
1397,73,70,10
1398,73,71,9
1399,73,25,8
1400,73,11,6
1401,73,75,5
1402,73,33,4
1403,73,77,3
1404,73,78,2
1405,73,30,1
1406,11,60,20
1407,11,61,19
1408,11,29,18
1409,11,22,17
1410,11,6,16
1411,11,65,15
1412,11,66,14
1413,11,31,13
1414,11,35,12
1415,11,69,11
1416,11,70,10
1417,11,71,9
1418,11,25,8
1419,11,73,7
1420,11,75,5
1421,11,33,4
1422,11,77,3
1423,11,78,2
1424,11,30,1
1425,75,60,20
1426,75,61,19
1427,75,29,18
1428,75,22,17
1429,75,6,16
1430,75,65,15
1431,75,66,14
1432,75,31,13
1433,75,35,12
1434,75,69,11
1435,75,70,10
1436,75,71,9
1437,75,25,8
1438,75,73,7
1439,75,11,6
1440,75,33,4
1441,75,77,3
1442,75,78,2
1443,75,30,1
1444,33,60,20
1445,33,61,19
1446,33,29,18
1447,33,22,17
1448,33,6,16
1449,33,65,15
1450,33,66,14
1451,33,31,13
1452,33,35,12
1453,33,69,11
1454,33,70,10
1455,33,71,9
1456,33,25,8
1457,33,73,7
1458,33,11,6
1459,33,75,5
1460,33,77,3
1461,33,78,2
1462,33,30,1
1463,77,60,20
1464,77,61,19
1465,77,29,18
1466,77,22,17
1467,77,6,16
1468,77,65,15
1469,77,66,14
1470,77,31,13
1471,77,35,12
1472,77,69,11
1473,77,70,10
1474,77,71,9
1475,77,25,8
1476,77,73,7
1477,77,11,6
1478,77,75,5
1479,77,33,4
1480,77,78,2
1481,77,30,1
1482,78,60,20
1483,78,61,19
1484,78,29,18
1485,78,22,17
1486,78,6,16
1487,78,65,15
1488,78,66,14
1489,78,31,13
1490,78,35,12
1491,78,69,11
1492,78,70,10
1493,78,71,9
1494,78,25,8
1495,78,73,7
1496,78,11,6
1497,78,75,5
1498,78,33,4
1499,78,77,3
1500,78,30,1
1501,30,60,20
1502,30,61,19
1503,30,29,18
1504,30,22,17
1505,30,6,16
1506,30,65,15
1507,30,66,14
1508,30,31,13
1509,30,35,12
1510,30,69,11
1511,30,70,10
1512,30,71,9
1513,30,25,8
1514,30,73,7
1515,30,11,6
1516,30,75,5
1517,30,33,4
1518,30,77,3
1519,30,78,2
1520,80,81,19
1521,80,82,18
1522,80,83,17
1523,80,84,16
1524,80,85,15
1525,80,86,14
1526,80,87,13
1527,80,88,12
1528,80,89,11
1529,80,90,10
1530,80,91,9
1531,80,92,8
1532,80,93,7
1533,80,22,6
1534,80,31,5
1535,80,14,4
1536,80,29,3
1537,80,98,2
1538,80,12,1
1539,81,80,20
1540,81,82,18
1541,81,83,17
1542,81,84,16
1543,81,85,15
1544,81,86,14
1545,81,87,13
1546,81,88,12
1547,81,89,11
1548,81,90,10
1549,81,91,9
1550,81,92,8
1551,81,93,7
1552,81,22,6
1553,81,31,5
1554,81,14,4
1555,81,29,3
1556,81,98,2
1557,81,12,1
1558,82,80,20
1559,82,81,19
1560,82,83,17
1561,82,84,16
1562,82,85,15
1563,82,86,14
1564,82,87,13
1565,82,88,12
1566,82,89,11
1567,82,90,10
1568,82,91,9
1569,82,92,8
1570,82,93,7
1571,82,22,6
1572,82,31,5
1573,82,14,4
1574,82,29,3
1575,82,98,2
1576,82,12,1
1577,83,80,20
1578,83,81,19
1579,83,82,18
1580,83,84,16
1581,83,85,15
1582,83,86,14
1583,83,87,13
1584,83,88,12
1585,83,89,11
1586,83,90,10
1587,83,91,9
1588,83,92,8
1589,83,93,7
1590,83,22,6
1591,83,31,5
1592,83,14,4
1593,83,29,3
1594,83,98,2
1595,83,12,1
1596,84,80,20
1597,84,81,19
1598,84,82,18
1599,84,83,17
1600,84,85,15
1601,84,86,14
1602,84,87,13
1603,84,88,12
1604,84,89,11
1605,84,90,10
1606,84,91,9
1607,84,92,8
1608,84,93,7
1609,84,22,6
1610,84,31,5
1611,84,14,4
1612,84,29,3
1613,84,98,2
1614,84,12,1
1615,85,80,20
1616,85,81,19
1617,85,82,18
1618,85,83,17
1619,85,84,16
1620,85,86,14
1621,85,87,13
1622,85,88,12
1623,85,89,11
1624,85,90,10
1625,85,91,9
1626,85,92,8
1627,85,93,7
1628,85,22,6
1629,85,31,5
1630,85,14,4
1631,85,29,3
1632,85,98,2
1633,85,12,1
1634,86,80,20
1635,86,81,19
1636,86,82,18
1637,86,83,17
1638,86,84,16
1639,86,85,15
1640,86,87,13
1641,86,88,12
1642,86,89,11
1643,86,90,10
1644,86,91,9
1645,86,92,8
1646,86,93,7
1647,86,22,6
1648,86,31,5
1649,86,14,4
1650,86,29,3
1651,86,98,2
1652,86,12,1
1653,87,80,20
1654,87,81,19
1655,87,82,18
1656,87,83,17
1657,87,84,16
1658,87,85,15
1659,87,86,14
1660,87,88,12
